"","date","simple","vader"
"1","01/04/2020",0.0602277975782448,0.124734007401533
"2","02/04/2020",0.0793679649464805,0.140077995927865
"3","03/04/2020",0.0968892337007192,0.138795347130486
"4","04/04/2020",0.0854128618247608,0.125767927631579
"5","05/04/2020",0.0722447969357437,0.12279076422207
"6","06/04/2020",0.0953254102546546,0.127019418372057
"7","07/04/2020",0.097873229337835,0.131134095158945
"8","08/04/2020",0.0872731878042891,0.140569824383654
"9","09/04/2020",0.098666012520185,0.133788687973087
"10","10/04/2020",0.108223756391503,0.153718562091503
"11","11/04/2020",0.11530898663138,0.146091061301647
"12","12/04/2020",0.126540405456223,0.156629917550059
"13","13/04/2020",0.0499578289923408,0.10347180469124
"14","14/04/2020",0.0813928801204541,0.128532919907505
"15","15/04/2020",0.103729546973763,0.135013318646105
"16","16/04/2020",0.101074844811243,0.159251419439744
"17","17/04/2020",0.118570924758589,0.142082188200149
"18","18/04/2020",0.106929518916303,0.135124133504493
"19","19/04/2020",0.0996664137430019,0.139168914956012
"20","20/04/2020",0.0819250295964602,0.13066781289507
"21","21/04/2020",0.0842622334963314,0.124746698224852
"22","22/04/2020",0.079075779814983,0.139058115777526
"23","23/04/2020",0.116349804167452,0.153228131977177
"24","24/04/2020",0.134880565440087,0.138881300108342
"25","25/04/2020",0.118528261826458,0.151454213317619
"26","26/04/2020",0.0997523723079279,0.155370840421912
"27","27/04/2020",0.107134375026285,0.119794800693241
"28","28/04/2020",0.111063379243029,0.125767495899399
"29","29/03/2020",0.071138107866571,0.114108060519108
"30","29/04/2020",0.116448219278803,0.154399226932668
"31","30/03/2020",0.0938359048412578,0.142803068509798
"32","30/04/2020",0.0986243595357787,0.149680487071557
"33","31/03/2020",0.0849530644975532,0.136163726449719
